Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
FOXA, Twenty-First Century Fox Inc., 25.9, 0.02,0.08, 6045791, .0,
ULTA, Ulta Beauty Inc., 226.88, -1.72,-0.75, 1006391, -.1,
VRSK, Verisk Analytics Inc., 82.9, 0.87,1.06, 628125, .1,
VRTX, Vertex Pharmaceuticals Incorporated, 156.82, -0.99,-0.63, 800813, -.2,
VIAB, Viacom Inc., 27.11, -0.08,-0.29, 5321278, .0,
VOD, Vodafone Group Plc, 28.88, -0.04,-0.14, 1810125, .0,
WBA, Walgreens Boots Alliance Inc., 82.74, 0.46,0.56, 7782629, .4,
WDC, Western Digital Corporation, 88.78, 1.4,1.6, 4011555, .4,
WYNN, Wynn Resorts Limited, 145.92, 0.02,0.01, 992292, .0,
XLNX, Xilinx Inc., 65, 0.28,0.43, 2526672, .1,
